latitude,longitude,time,Temperature_surface,u-component_of_wind_maximum_wind,v-component_of_wind_maximum_wind,U-Component_Storm_Motion_height_above_ground_layer,V-Component_Storm_Motion_height_above_ground_layer,Relative_humidity_height_above_ground
22.996699999999997,-51.8333,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.8333,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.7503,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.667300000000004,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.584300000000006,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.50130000000001,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-03 05:44:00,,,,,,
22.996699999999997,-51.41830000000001,2013-06-03 08:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 02:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 05:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 08:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 11:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 14:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 17:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 20:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-02 23:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-03 02:44:00,,,,,,
22.996699999999997,-51.33530000000001,2013-06-03 05:44:00,,,,,,
