latitude,longitude,time,thetao,so,uo,vo,zos,mlotst,bottomT,siconc,sithick,usi,vsi
22.996699999999997,-51.8333,2013-06-02 02:44:00,25.15173948908446,37.29921643387809,0.02519715841479784,-0.11078543624720405,0.05319499519596976,19.58546548675251,1.5710201667894927,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 05:44:00,25.15934976116217,37.299223986865215,0.027769219398731962,-0.10860299687452211,0.05293404394105715,19.81510979820003,1.5711117195238677,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 08:44:00,25.166960033239874,37.299231539852336,0.030341280382666088,-0.10642055750184018,0.05267309268614453,20.044754109647553,1.5712032722582427,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 11:44:00,25.17457030531758,37.299239092839464,0.032913341366600214,-0.10423811812915826,0.05241214143123191,20.27439842109507,1.5712948249926177,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 14:44:00,25.178353411394227,37.29907286517332,0.03283020328613671,-0.10355458455039603,0.052807435717782104,20.520732831954955,1.5713864098205605,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 17:44:00,25.18176313542199,37.29888968329711,0.032488021394512456,-0.10301728568323572,0.053266753959596964,20.768695545196532,1.5714779977795827,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 20:44:00,25.18517285944975,37.2987065014209,0.032145839502888206,-0.10247998681607542,0.05372607220141182,21.01665825843811,1.5715695857386052,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-02 23:44:00,25.188582583477515,37.298523319544685,0.031803657611263955,-0.10194268794891512,0.05418539044322668,21.264620971679687,1.5716611736976276,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-03 02:44:00,25.191992307505277,37.298340137668475,0.031461475719639705,-0.10140538908175481,0.05464470868504154,21.512583684921264,1.57175276165665,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-03 05:44:00,25.19540203153304,37.298156955792265,0.031119293828015454,-0.1008680902145945,0.0551040269268564,21.76054639816284,1.5718443496156722,,,0.0,0.0
22.996699999999997,-51.8333,2013-06-03 08:44:00,25.1988117555608,37.29797377391605,0.030777111936391207,-0.10033079134743421,0.05556334516867125,22.00850911140442,1.5719359375746946,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 02:44:00,25.118235026300695,37.305415995169504,0.04328138629700236,-0.11929705337919642,0.04468114037334757,19.58546548675251,1.597219109845509,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 05:44:00,25.126571181281417,37.30542354830511,0.04559537779907298,-0.11695661004186284,0.04453116796983418,19.81510979820003,1.597310662579884,,,0.0,0.0
